Date,DAU
2022-05-12,37880
2022-05-13,29216
2022-05-14,24803
2022-05-15,19311
2022-05-16,21509
2022-05-17,20952
2022-05-18,22289
2022-05-19,22356
2022-05-20,19633
2022-05-21,18723
2022-05-22,17750
2022-05-23,22539
2022-05-24,21902
2022-05-25,20184
2022-05-26,25380
2022-05-27,50344
2022-05-28,69956
2022-05-29,67129
2022-05-30,91566
2022-05-31,70993
2022-06-01,62131
2022-06-02,57119
2022-06-03,53007
2022-06-04,57819
2022-06-05,59868
2022-06-06,55209
2022-06-07,53577
2022-06-08,51718
2022-06-09,51578
2022-06-10,44542
2022-06-11,20257
2022-06-12,21192
2022-06-13,24250
2022-06-14,22749
2022-06-15,20815
2022-06-16,21236
2022-06-17,19032
2022-06-18,20681
2022-06-19,17806
2022-06-20,19326
2022-06-21,24384
2022-06-22,17645
2022-06-23,17953
2022-06-24,19920
2022-06-25,17424
2022-06-26,17816
2022-06-27,70387
2022-06-28,20793
2022-06-29,19091
2022-06-30,21478
2022-07-01,24099
2022-07-02,24155
2022-07-03,23092
2022-07-04,24366
2022-07-05,24211
2022-07-06,22040
2022-07-07,63875
2022-07-08,25367
2022-07-09,19215
2022-07-10,21115
2022-07-11,62572
2022-07-12,22217
2022-07-13,24970
2022-07-14,24275
2022-07-15,19319
2022-07-16,18585
2022-07-17,16742
2022-07-18,22508
2022-07-19,21085
2022-07-20,21240
2022-07-21,19394
2022-07-22,21937
2022-07-23,19342
2022-07-24,18538
2022-07-25,22352
2022-07-26,26084
2022-07-27,26195
2022-07-28,25895
2022-07-29,28203
2022-07-30,25262
2022-07-31,25706
2022-08-01,25667
2022-08-02,27765
2022-08-03,24341
2022-08-04,24113
2022-08-05,26763
2022-08-06,22967
2022-08-07,28296
2022-08-08,25995
2022-08-09,25909
2022-08-10,23164
2022-08-11,23769
2022-08-12,22960
2022-08-13,23335
2022-08-14,23596
2022-08-15,27622
2022-08-16,20153
2022-08-17,18144
2022-08-18,16318
2022-08-19,19020
2022-08-20,16512
2022-08-21,16686
2022-08-22,18915
2022-08-23,19014
2022-08-24,17960
2022-08-25,17859
2022-08-26,43632
2022-08-27,57882
2022-08-28,63669
2022-08-29,21880
2022-08-30,48146
2022-08-31,64056
2022-09-01,31498
2022-09-02,21281
2022-09-03,19969
2022-09-04,20282
2022-09-05,31857
2022-09-06,27214
2022-09-07,51423
2022-09-08,69254
2022-09-09,36554
2022-09-10,42907
2022-09-11,58017
2022-09-12,44221
2022-09-13,39527
2022-09-14,35661
2022-09-15,34456
2022-09-16,37778
2022-09-17,35828
2022-09-18,44036
2022-09-19,45291
2022-09-20,42273
2022-09-21,38645
2022-09-22,58504
2022-09-23,48095
2022-09-24,33438
2022-09-25,31968
2022-09-26,30791
2022-09-27,31285
2022-09-28,38875
2022-09-29,34861
2022-09-30,36171
2022-10-01,37378
2022-10-02,32105
2022-10-03,34905
2022-10-04,40028
2022-10-05,36281
2022-10-06,34477
2022-10-07,35763
2022-10-08,37714
2022-10-09,37185
2022-10-10,36686
2022-10-11,35455
2022-10-12,36594
2022-10-13,37635
2022-10-14,37143
2022-10-15,32694
2022-10-16,58809
2022-10-17,41015
2022-10-18,40815
2022-10-19,38504
2022-10-20,35657
2022-10-21,42612
2022-10-22,30458
2022-10-23,30303
2022-10-24,296749
2022-10-25,941989
2022-10-26,43284
2022-10-27,34093
2022-10-28,35285
2022-10-29,34932
2022-10-30,31430
2022-10-31,35576
2022-11-01,35362
2022-11-02,37899
2022-11-03,45100
2022-11-04,40853
2022-11-05,44503
2022-11-06,32701
2022-11-07,36950
2022-11-08,35720
2022-11-09,34524
2022-11-10,32073
2022-11-11,27776
2022-11-12,26302
2022-11-13,27710
2022-11-14,30137
2022-11-15,35186
2022-11-16,33057
2022-11-17,34739
2022-11-18,38667
2022-11-19,47369
2022-11-20,41362
2022-11-21,37765
2022-11-22,37885
2022-11-23,39177
2022-11-24,36458
2022-11-25,30235
2022-11-26,31760
2022-11-27,31837
2022-11-28,37465
2022-11-29,28043
2022-11-30,31905
2022-12-01,28792
2022-12-02,27377
2022-12-03,23047
2022-12-04,24762
2022-12-05,68979
2022-12-06,32706
2022-12-07,28561
2022-12-08,35592
2022-12-09,26723
2022-12-10,22139
2022-12-11,24121
2022-12-12,40167
2022-12-13,29048
2022-12-14,31607
2022-12-15,22689
2022-12-16,35648
2022-12-17,22231
2022-12-18,19748
2022-12-19,20107
2022-12-20,20618
2022-12-21,20984
2022-12-22,34716
2022-12-23,19518
2022-12-24,18195
2022-12-25,15591
2022-12-26,21365
2022-12-27,27749
2022-12-28,29864
2022-12-29,21134
2022-12-30,22367
2022-12-31,21002
2023-01-01,32663
2023-01-02,25332
2023-01-03,22677
2023-01-04,23811
2023-01-05,23984
2023-01-06,26224
2023-01-07,26178
2023-01-08,23995
2023-01-09,36318
2023-01-10,27496
2023-01-11,23452
2023-01-12,24047
2023-01-13,45505
2023-01-14,28295
2023-01-15,24913
2023-01-16,22160
2023-01-17,18711
2023-01-18,19241
2023-01-19,19380
2023-01-20,20635
2023-01-21,20610
2023-01-22,21735
2023-01-23,26339
2023-01-24,21981
2023-01-25,21318
2023-01-26,20613
2023-01-27,18393
2023-01-28,18316
2023-01-29,18379
2023-01-30,21899
2023-01-31,23357
2023-02-01,21455
2023-02-02,23949
2023-02-03,23842
2023-02-04,21680
2023-02-05,23629
2023-02-06,24028
2023-02-07,24743
2023-02-08,28455
2023-02-09,20733
2023-02-10,18579
2023-02-11,15645
2023-02-12,16816
2023-02-13,21229
2023-02-14,18891
