Timestamp,Date,USDT,USDC,STBL,EURS,EURE,EURD,Total
1652313600,2022-05-12,158999962,218931144,,,,,377931106
1652400000,2022-05-13,158999962,218931144,,,,,377931106
1652486400,2022-05-14,158999962,241714496,,,,,400714458
1652572800,2022-05-15,158832338,239190553,,,,,398022891
1652659200,2022-05-16,158859789,239208864,,,,,398068653
1652745600,2022-05-17,158859789,250383284,,,,,409243073
1652832000,2022-05-18,158834341,252621201,,,,,411455542
1652918400,2022-05-19,158844829,241555352,,,,,400400181
1653004800,2022-05-20,158901094,245937935,,,,,404839029
1653091200,2022-05-21,158901094,266764008,,,,,425665102
1653177600,2022-05-22,158825313,266531830,,,,,425357143
1653264000,2022-05-23,158856862,266552870,,,,,425409732
1653350400,2022-05-24,158840962,271821595,,,,,430662557
1653436800,2022-05-25,158840962,269509864,,,,,428350826
1653523200,2022-05-26,158838811,269263914,,,,,428102725
1653609600,2022-05-27,158849982,260009622,,,,,418859604
1653696000,2022-05-28,158859831,259180042,,,,,418039873
1653782400,2022-05-29,158869358,258751400,,,,,417620758
1653868800,2022-05-30,158938927,258818353,,,,,417757280
1653955200,2022-05-31,158915037,255723259,,,,,414638296
1654041600,2022-06-01,158915037,257803097,,,,,416718134
1654128000,2022-06-02,158904562,255342330,,,,,414246892
1654214400,2022-06-03,158920462,255268069,,,,,414188531
1654300800,2022-06-04,158912725,259060789,,,,,417973514
1654387200,2022-06-05,158888662,257830996,,,,,416719658
1654473600,2022-06-06,158896122,255470970,,,,,414367092
1654560000,2022-06-07,158920879,256729389,,,,,415650268
1654646400,2022-06-08,158920879,255599973,,,,,414520852
1654732800,2022-06-09,158930191,260804176,,,,,419734367
1654819200,2022-06-10,155932085,259556962,,,,,415489047
1654905600,2022-06-11,155952491,260519038,,,,,416471529
1654992000,2022-06-12,155882662,260499238,,,,,416381900
1655078400,2022-06-13,155937562,260526539,,,,,416464101
1655164800,2022-06-14,155734762,258322556,,,,,414057318
1655251200,2022-06-15,155835134,256190961,,,,,412026095
1655337600,2022-06-16,155781562,255794194,,,,,411575756
1655424000,2022-06-17,155828116,257763865,,,,,413591981
1655510400,2022-06-18,155815102,256485623,,,,,412300725
1655596800,2022-06-19,155840805,253083260,8305357,,,,417229422
1655683200,2022-06-20,155799972,254291291,8281972,,,,418373235
1655769600,2022-06-21,155828362,251589592,8275949,,,,415693903
1655856000,2022-06-22,155841411,250033150,8267456,,,,414142017
1655942400,2022-06-23,155897234,249248856,8176175,,,,413322265
1656028800,2022-06-24,155872215,251944245,8156349,,,,415972809
1656115200,2022-06-25,155878645,256905471,8145632,,,,420929748
1656201600,2022-06-26,155890762,256984229,8157861,,,,421032852
1656288000,2022-06-27,155913644,256953280,8154776,,,,421021700
1656374400,2022-06-28,155913831,248448777,8144182,,,,412506790
1656460800,2022-06-29,155859562,238059644,8033988,,,,401953194
1656547200,2022-06-30,155831902,237687069,8146571,,,,401665542
1656633600,2022-07-01,155829173,237140558,8115376,,,,401085107
1656720000,2022-07-02,155831344,236524406,8109505,,,,400465255
1656806400,2022-07-03,155845791,239050443,8108661,,,,403004895
1656892800,2022-07-04,155858933,238986393,8154721,,,,403000047
1656979200,2022-07-05,155845606,235204113,8132716,,,,399182435
1657065600,2022-07-06,155962245,245473436,8145878,,,,409581559
1657152000,2022-07-07,155950193,241250981,8149235,,,,405350409
1657238400,2022-07-08,155859552,242974352,8134524,,,,406968428
1657324800,2022-07-09,156015513,241062207,8127417,,,,405205137
1657411200,2022-07-10,155924702,241415980,8131779,10130,,,405482591
1657497600,2022-07-11,156002329,241512402,8127228,9979,,,405651938
1657584000,2022-07-12,156002329,248407957,8099340,9946,,,412519572
1657670400,2022-07-13,156004771,243286124,8072660,9968,,,407373523
1657756800,2022-07-14,155884858,247827332,8064610,10050,,,411786850
1657843200,2022-07-15,165920323,243428365,8090449,10066,,,417449203
1657929600,2022-07-16,165920323,244629661,8118451,10066,,,418678501
1658016000,2022-07-17,165999178,244257601,8177055,10117,,,418443951
1658102400,2022-07-18,165965661,244213129,8170621,10113,,,418359524
1658188800,2022-07-19,165983352,241460637,8421663,10207,,,415875859
1658275200,2022-07-20,166001489,238607386,8468418,10281,,,413087574
1658361600,2022-07-21,166009794,251497834,8479127,10269,,,425997024
1658448000,2022-07-22,166006559,245988253,8471508,10261,,,420476581
1658534400,2022-07-23,166021758,246003555,8581835,10272,,,420617420
1658620800,2022-07-24,166020352,248359714,8571676,10286,,,422962028
1658707200,2022-07-25,166016998,244767838,8579081,10286,,,419374203
1658793600,2022-07-26,166006919,220008210,8656926,10252,,,394682307
1658880000,2022-07-27,166054026,219937666,8434114,10223,,,394436029
1658966400,2022-07-28,158015020,216354609,8054805,10230,,,382434664
1659052800,2022-07-29,158036150,214885042,8055145,10172,,,380986509
1659139200,2022-07-30,158040850,215084567,8056837,10210,,,381192464
1659225600,2022-07-31,158047979,215337642,8065890,10243,,,381461754
1659312000,2022-08-01,158049024,215342147,8050398,10248,,,381451817
1659398400,2022-08-02,158043772,220952502,8085018,10297,,,387091589
1659484800,2022-08-03,158060159,254903570,7974254,10250,,,420948233
1659571200,2022-08-04,158026986,255264411,7901966,10152,,,421203515
1659657600,2022-08-05,158064438,215860583,7993348,10220,,,381928589
1659744000,2022-08-06,158048216,216856919,8098698,10181,,,383014014
1659830400,2022-08-07,158048216,214805510,8104590,10181,,,380968497
1659916800,2022-08-08,158020285,214220988,8144064,10169,,,380395506
1660003200,2022-08-09,158018503,213359381,8178020,10202,,,379566106
1660089600,2022-08-10,158029323,233022008,8199490,10191,,,399261012
1660176000,2022-08-11,158041825,172049735,8245053,10251,,,338346864
1660262400,2022-08-12,158062242,172866469,8255712,10310,,,339194733
1660348800,2022-08-13,158079890,173856183,8251906,10244,,,340198223
1660435200,2022-08-14,158062710,172403228,8249356,10235,,,338725529
1660521600,2022-08-15,158046657,172684115,8287449,10240,,,339028461
1660608000,2022-08-16,158049071,174587519,8286212,10195,,,340932997
1660694400,2022-08-17,158022473,173460363,8322677,10131,,,339815644
1660780800,2022-08-18,158017438,172214649,8368442,10125,,,338610654
1660867200,2022-08-19,158015739,173335772,8360535,10121,,,339722167
1660953600,2022-08-20,158010680,175984426,7796555,10078,,,341801739
1661040000,2022-08-21,158024685,175363924,7803370,10001,,,341201980
1661126400,2022-08-22,158006503,181335509,7800427,10050,,,347152489
1661212800,2022-08-23,157986908,175189067,7759812,9982,,,340945769
1661299200,2022-08-24,157987920,173917931,7754333,9955,,,339670139
1661385600,2022-08-25,158017868,175044656,7731071,9944,,,340803539
1661472000,2022-08-26,157999949,175767289,7726016,9994,,,341503248
1661558400,2022-08-27,158010156,175015795,7640900,9999,,,340676850
1661644800,2022-08-28,158024719,174340371,7590729,9999,,,339965818
1661731200,2022-08-29,158005030,173654608,7573718,9980,,,339243336
1661817600,2022-08-30,157999949,175249609,7576954,9972,,,340836484
1661904000,2022-08-31,158009075,176560608,7593987,10009,,,342173679
1661990400,2022-09-01,158004700,177027925,7626317,10006,,,342668948
1662076800,2022-09-02,158005106,173008610,7592096,9999,,,338615811
1662163200,2022-09-03,158001290,176912453,7561018,9958,,,342484719
1662249600,2022-09-04,158007018,172908445,7558467,9935,,,338483865
1662336000,2022-09-05,157999949,172971954,7511267,9920,,,338493090
1662422400,2022-09-06,157993738,172173420,7509445,9973,,,337686576
1662508800,2022-09-07,158005160,173809515,7450700,9872,,,339275247
1662595200,2022-09-08,158005441,180783219,7247906,9959,,,346046525
1662681600,2022-09-09,158011197,175324709,7245022,9952,,,340590880
1662768000,2022-09-10,158026288,169115321,5172541,10044,,,332324194
1662854400,2022-09-11,158059491,170998634,5134476,10020,,,334202621
1662940800,2022-09-12,158045108,169684673,5126809,10010,,,332866600
1663027200,2022-09-13,158009634,172006431,5105454,10094,,,335131613
1663113600,2022-09-14,158037867,170558773,5105852,9970,,,333712462
1663200000,2022-09-15,158005909,179108328,5094224,9952,,,342218413
1663286400,2022-09-16,158007168,172588608,5049764,9968,,,335655508
1663372800,2022-09-17,158006672,169818514,5042538,9950,,,332877674
1663459200,2022-09-18,158000135,169826841,4733203,9972,,,332570151
1663545600,2022-09-19,158006672,169745261,4729628,9950,,,332491511
1663632000,2022-09-20,158013654,167873215,4714668,9996,,,330611533
1663718400,2022-09-21,158015940,170876516,4692304,9989,,,333594749
1663804800,2022-09-22,158020288,170115045,4669682,9845,,,332814860
1663891200,2022-09-23,158000178,167888605,4578314,9849,,,330476946
1663977600,2022-09-24,157998873,171165397,4562724,9695,,,333736689
1664064000,2022-09-25,158001131,171071668,4547043,9707,,,333629549
1664150400,2022-09-26,158006400,167890842,4516723,9695,,,330423660
1664236800,2022-09-27,157999949,170673140,4463148,9611,,,333145848
1664323200,2022-09-28,157997647,175817406,4454371,9576,,,338279000
1664409600,2022-09-29,157991398,175372340,4455058,9674,,,337828470
1664496000,2022-09-30,158006923,170521593,4318068,9748,,,332856332
1664582400,2022-10-01,158009182,173243969,4189040,9752,,,335451943
1664668800,2022-10-02,158010669,171552899,4182560,9750,,,333755878
1664755200,2022-10-03,157999949,171559802,4143962,9652,,,333713365
1664841600,2022-10-04,158006868,170430122,4005187,9723,,,332451900
1664928000,2022-10-05,158039190,176141626,3900403,9908,,,338091127
1665014400,2022-10-06,158024897,179034411,3839570,9837,,,340908715
1665100800,2022-10-07,158019879,180583908,3797284,9793,,,342410864
1665187200,2022-10-08,157999949,185593117,3731621,9743,,,347334430
1665273600,2022-10-09,158022951,178576440,3718942,9732,,,340328065
1665360000,2022-10-10,158019113,178527430,3713977,9713,,,340270233
1665446400,2022-10-11,158007358,178617780,3689911,9713,,,340324762
1665532800,2022-10-12,157996795,178756279,3682207,9738,,,340445019
1665619200,2022-10-13,157997574,178764183,3651461,9675,,,340422893
1665705600,2022-10-14,157993654,175288760,3635554,9734,,,336927702
1665792000,2022-10-15,157999949,176592466,3626723,9685,,,338228823
1665878400,2022-10-16,158011902,176217248,3624766,9666,,,337863582
1665964800,2022-10-17,158010691,175914968,3582458,9677,,,337517794
1666051200,2022-10-18,157999949,175222805,3573742,9764,,,336806260
1666137600,2022-10-19,158008803,174584055,3559747,9802,,,336162407
1666224000,2022-10-20,158013499,177346419,3540800,9751,,,338910469
1666310400,2022-10-21,157999949,171731605,3536842,9786,,,333278182
1666396800,2022-10-22,157999949,176956481,3522909,9814,,,338489153
