Timestamp,Date,IUSD,RUSD,DJED,MyUSD,Total
1669248000,2022-11-24,1712471,,,,1712471
1669334400,2022-11-25,1719517,40772,,,1760289
1669420800,2022-11-26,1724627,40772,,,1765399
1669507200,2022-11-27,1733590,40772,,,1774362
1669593600,2022-11-28,1740956,40772,,,1781728
1669680000,2022-11-29,1743517,40772,,,1784289
1669766400,2022-11-30,1768391,40772,,,1809163
1669852800,2022-12-01,1798571,40772,,,1839343
1669939200,2022-12-02,1849659,40768,,,1890427
1670025600,2022-12-03,1871295,39364,,,1910659
1670112000,2022-12-04,1931659,39364,,,1971023
1670198400,2022-12-05,1985331,39364,,,2024695
1670284800,2022-12-06,2119504,39364,,,2158868
1670371200,2022-12-07,2887503,39364,,,2926867
1670457600,2022-12-08,3001062,39364,,,3040426
1670544000,2022-12-09,3036000,39364,,,3075364
1670630400,2022-12-10,3050609,39356,,,3089965
1670716800,2022-12-11,3066810,39356,,,3106166
1670803200,2022-12-12,3079639,39356,,,3118995
1670889600,2022-12-13,3056047,39346,,,3095393
1670976000,2022-12-14,3066102,39346,,,3105448
1671062400,2022-12-15,3080947,39346,,,3120293
1671148800,2022-12-16,3093856,39346,,,3133202
1671235200,2022-12-17,2664900,39346,,,2704246
1671321600,2022-12-18,2655032,39346,,,2694378
1671408000,2022-12-19,2659307,39346,,,2698653
1671494400,2022-12-20,2652543,38670,,,2691213
1671580800,2022-12-21,2655182,38670,,,2693852
1671667200,2022-12-22,2654150,38670,,,2692820
1671753600,2022-12-23,2657547,38670,,,2696217
1671840000,2022-12-24,2672720,38670,,,2711390
1671926400,2022-12-25,2673718,38670,,,2712388
1672012800,2022-12-26,2682660,38670,,,2721330
1672099200,2022-12-27,2702905,38670,,,2741575
1672185600,2022-12-28,2715269,38670,,,2753939
1672272000,2022-12-29,2725175,38670,,,2763845
1672358400,2022-12-30,2729842,38670,,,2768512
1672444800,2022-12-31,2738193,38670,,,2776863
1672531200,2023-01-01,2746220,38670,,,2784890
1672617600,2023-01-02,2753298,38670,,,2791968
1672704000,2023-01-03,2739601,38670,,,2778271
1672790400,2023-01-04,2760283,38670,,,2798953
1672876800,2023-01-05,2789456,38670,,,2828126
1672963200,2023-01-06,2837478,38670,,,2876148
1673049600,2023-01-07,2826099,38670,,,2864769
1673136000,2023-01-08,2881765,38670,,,2920435
1673222400,2023-01-09,2914215,38670,,,2952885
1673308800,2023-01-10,3003677,38670,,,3042347
1673395200,2023-01-11,3522644,38670,,,3561314
1673481600,2023-01-12,3617899,38670,,,3656569
1673568000,2023-01-13,3650466,38670,,,3689136
1673654400,2023-01-14,3657516,38670,,,3696186
1673740800,2023-01-15,3672252,38670,,,3710922
1673827200,2023-01-16,3679569,38670,,,3718239
1673913600,2023-01-17,3793844,38670,,,3832514
1674000000,2023-01-18,3808089,38670,,,3846759
1674086400,2023-01-19,3812506,38670,,,3851176
1674172800,2023-01-20,3817242,38670,,,3855912
1674259200,2023-01-21,3836182,38670,,,3874852
1674345600,2023-01-22,3881863,38670,,,3920533
1674432000,2023-01-23,3918592,38670,,,3957262
1674518400,2023-01-24,3942232,38670,,,3980902
1674604800,2023-01-25,3950332,38670,,,3989002
1674691200,2023-01-26,3955180,38670,,,3993850
1674777600,2023-01-27,3956473,38670,,,3995143
1674864000,2023-01-28,3963527,38670,,,4002197
1674950400,2023-01-29,3982354,38670,,,4021024
1675036800,2023-01-30,3993043,38670,,,4031713
1675123200,2023-01-31,4116900,38670,,,4155570
1675209600,2023-02-01,4172672,38670,1776305,,5987647
1675296000,2023-02-02,4196597,38670,1776305,,6011572
1675382400,2023-02-03,3551018,38670,1848774,,5438462
1675468800,2023-02-04,4268198,38670,1856874,,6163742
1675555200,2023-02-05,4286179,38670,1868744,,6193593
1675641600,2023-02-06,4383759,38670,1899183,,6321612
1675728000,2023-02-07,4594549,38670,1910183,,6543402
1675814400,2023-02-08,4632157,38670,1997511,,6668338
1675900800,2023-02-09,5243853,38670,2114803,,7397326
1675987200,2023-02-10,5235563,38670,2183223,,7457456
1676073600,2023-02-11,5234136,38670,2183223,,7456029
1676160000,2023-02-12,5230050,38670,2178223,,7446943
1676246400,2023-02-13,5256964,38670,2278223,,7573857
1676332800,2023-02-14,5297123,38670,2197958,,7533751
1676419200,2023-02-15,5324637,38670,2292489,,7655796
1676505600,2023-02-16,6311087,38670,2406689,,8756446
1676592000,2023-02-17,6333974,38670,2354139,,8726783
1676678400,2023-02-18,6340754,38670,2393039,,8772463
1676764800,2023-02-19,6349510,38670,2457243,,8845423
1676851200,2023-02-20,6355787,38670,2477343,,8871800
1676937600,2023-02-21,6366499,38670,2477343,,8882512
1677024000,2023-02-22,6352077,38670,2477343,,8868090
1677110400,2023-02-23,6352310,38670,2429713,,8820693
1677196800,2023-02-24,6360642,38670,2310395,,8709707
1677283200,2023-02-25,6454326,38670,2302945,,8795941
1677369600,2023-02-26,6537109,38670,2313695,,8889474
