Timestamp,Date,USDT,USDC,BUSD,DAI,FRAX,TUSD,USN,Total
1657411200,2022-07-10,,,,,,,112827614,112827614
1657497600,2022-07-11,,,,,,,112751560,112751560
1657584000,2022-07-12,,,,,,,112857862,112857862
1657670400,2022-07-13,,,,,,,112929180,112929180
1657756800,2022-07-14,,,,,,,112856977,112856977
1657843200,2022-07-15,,,,,,,124196082,124196082
1657929600,2022-07-16,,,,,,,124452826,124452826
1658016000,2022-07-17,,,,,,,124456221,124456221
1658102400,2022-07-18,,,,,,,124448603,124448603
1658188800,2022-07-19,,,,,,,126286851,126286851
1658275200,2022-07-20,,,,,,,125417173,125417173
1658361600,2022-07-21,,,,,,,125652461,125652461
1658448000,2022-07-22,,,,,,,124777323,124777323
1658534400,2022-07-23,,,,,,,125160575,125160575
1658620800,2022-07-24,,,,,,,125080038,125080038
1658707200,2022-07-25,,,,,,,125166441,125166441
1658793600,2022-07-26,,,,,,,126644230,126644230
1658880000,2022-07-27,,,,,,,136410401,136410401
1658966400,2022-07-28,,,,,,,136432086,136432086
1659052800,2022-07-29,,,,,,,136189278,136189278
1659139200,2022-07-30,,,,,,,136846363,136846363
1659225600,2022-07-31,,,,,,,134022662,134022662
1659312000,2022-08-01,,,,,,,134214443,134214443
1659398400,2022-08-02,,,,,,,133759154,133759154
1659484800,2022-08-03,,,,,,,128652705,128652705
1659571200,2022-08-04,,,,,,,128120057,128120057
1659657600,2022-08-05,,,,,,,128529051,128529051
1659744000,2022-08-06,,,,,,,123357394,123357394
1659830400,2022-08-07,,,,,,,122146047,122146047
1659916800,2022-08-08,,,,,,,122253618,122253618
1660003200,2022-08-09,,,,,,,122365891,122365891
1660089600,2022-08-10,,,,,,,122356739,122356739
1660176000,2022-08-11,,,,,,,121020256,121020256
1660262400,2022-08-12,,,,,,,120776051,120776051
1660348800,2022-08-13,,,,,,,120901864,120901864
1660435200,2022-08-14,,,,,,,120959136,120959136
1660521600,2022-08-15,,,,,,,121149372,121149372
1660608000,2022-08-16,,,,,,,121018342,121018342
1660694400,2022-08-17,,,,,,,120162332,120162332
1660780800,2022-08-18,,,,,,,119831666,119831666
1660867200,2022-08-19,,,,,,,120093895,120093895
1660953600,2022-08-20,106365907,40473592,102,12443200,,20562,119257722,278561085
1661040000,2022-08-21,106141391,40211665,102,12436423,,20562,119819243,278629386
1661126400,2022-08-22,106152636,40184987,102,12443579,,20565,119697179,278499048
1661212800,2022-08-23,106131665,40142802,102,12432133,,20566,119520729,278247997
1661299200,2022-08-24,106251925,40859806,102,12421090,,20558,119870194,279423675
1661385600,2022-08-25,106332655,41438870,102,12425230,,20561,119507791,279725209
1661472000,2022-08-26,106449245,39342704,102,12433099,,20561,119548905,277794616
1661558400,2022-08-27,105202077,39522297,102,12430058,,20560,118308600,275483694
1661644800,2022-08-28,105663472,39575944,102,12426511,,20564,119095006,276781599
1661731200,2022-08-29,103575378,39455921,102,12425088,,20565,117628502,273105556
1661817600,2022-08-30,103363829,39732267,102,12426178,,20563,117768305,273311244
1661904000,2022-08-31,103050874,39489977,102,12426827,,20560,117183751,272172091
1661990400,2022-09-01,103906868,39370446,102,12425980,,20564,117088423,272812383
1662076800,2022-09-02,102361404,39492135,102,12416305,,20564,115098567,269389077
1662163200,2022-09-03,102740389,39089569,102,12416065,,20560,114875941,269142626
1662249600,2022-09-04,98328049,38844945,102,12415030,,20560,114605858,264214544
1662336000,2022-09-05,99689262,38505825,102,12415033,,20559,115640124,266270905
1662422400,2022-09-06,99850187,38142164,102,12113265,,20560,115532565,265658843
1662508800,2022-09-07,100037339,39567107,102,12225113,,20561,115827474,267677696
1662595200,2022-09-08,99152293,40197602,102,12223160,,20558,115697240,267290955
