Timestamp,Date,USDT,USDC,USTC,BUSD,DAI,FRAX,PAI,HUSD,CUSD,USDK,ZUSD,EURC,CEUR,EURA,USH,UXD,USDH,Coin98 Dollar,EUROe,PYUSD,GYEN,USDY,USDe,Binance Peg BUSD,VEUR,AUDD,ISC,Total
1652313600,2022-05-12,1758873608,3889835603,46887167,12675923,3008502,1576929,,,,,,,,,,,,,,,,,,,,,,5712857732
1652400000,2022-05-13,1759023344,3889835603,20188279,13617979,2492733,771138,,,,,,,,,,,,,,,,,,,,,,5685929076
1652486400,2022-05-14,1817313878,4116533252,7511860,13566805,2463348,702855,,,,,,,,,,,,,,,,,,,,,,5958091998
1652572800,2022-05-15,1815419921,4118144321,7670167,13584961,2470245,658348,,,,,,,,,,,,,,,,,,,,,,5957947963
1652659200,2022-05-16,1815687110,4118466204,6340994,13572041,2434295,599144,,,,,,,,,,,,,,,,,,,,,,5957099788
1652745600,2022-05-17,1815462439,4155751780,6693427,13534142,2444811,503102,,,,,,,,,,,,,,,,,,,,,,5994389701
1652832000,2022-05-18,1815174669,4162042121,5367837,13518999,2649660,503034,,,,,,,,,,,,,,,,,,,,,,5999256320
1652918400,2022-05-19,1814887060,4160784836,5555870,13567007,2670586,349455,,,,,,,,,,,,,,,,,,,,,,5997814814
1653004800,2022-05-20,1816807793,4175913941,4022911,14355777,2549466,349409,,,,,,,,,,,,,,,,,,,,,,6013999297
1653091200,2022-05-21,1821171056,4194415972,4166954,15111423,2445931,349620,,,,,,,,,,,,,,,,,,,,,,6037660956
1653177600,2022-05-22,1820322406,4196144543,4656465,14944233,2448675,349958,,,,,,,,,,,,,,,,,,,,,,6038866280
1653264000,2022-05-23,1820906922,4197694649,6027099,14984563,2420771,350831,,,,,,,,,,,,,,,,,,,,,,6042384835
1653350400,2022-05-24,1820873992,4222893023,4143979,14972332,2436300,349465,,,,,,,,,,,,,,,,,,,,,,6065669091
1653436800,2022-05-25,1820874294,4223247782,4062339,15011388,2437940,349662,,,,,,,,,,,,,,,,,,,,,,6065983405
1653523200,2022-05-26,1820692320,4233523925,5079274,14985894,2417419,349638,,,,,,,,,,,,,,,,,,,,,,6077048470
1653609600,2022-05-27,1820919393,4242363085,2152773,15013649,2421337,349999,,,,,,,,,,,,,,,,,,,,,,6083220236
1653696000,2022-05-28,1820687283,4276006073,1938468,14971598,2419792,349750,,,,,,,,,,,,,,,,,,,,,,6116372964
