Timestamp,Date,USDT,KUSD,USDTZ,UUSD,EURL,VEUR,Total
1660521600,2022-08-15,40612102,,,,,,40612102
1660608000,2022-08-16,40612723,,,,,,40612723
1660694400,2022-08-17,40605888,1700670,822083,,,,43128641
1660780800,2022-08-18,40604594,1698299,802535,2584351,,,45689779
1660867200,2022-08-19,50783004,1655039,792899,2512255,5735135,,61478332
1660953600,2022-08-20,50781379,1678216,816302,2612087,5655286,,61543270
1661040000,2022-08-21,50785880,1678129,813572,2618951,5655286,,61551818
1661126400,2022-08-22,50780036,1661581,806048,2600666,5600223,,61448554
1661212800,2022-08-23,50773739,1662152,808239,2604923,5202691,,61051744
1661299200,2022-08-24,50774064,1625628,801915,2554989,5202691,,60959287
1661385600,2022-08-25,60784823,1643986,803879,2586413,5218353,,71037454
1661472000,2022-08-26,60777930,1651251,806723,2618546,5218353,,71072803
1661558400,2022-08-27,60781856,1655104,805405,2612012,5216679,,71071056
1661644800,2022-08-28,60787458,1612455,795915,2559422,5216679,,70971929
1661731200,2022-08-29,60779885,1617010,804558,2579573,5216679,,70997705
1661817600,2022-08-30,60777930,1591680,784681,2567374,5240628,,70962293
1661904000,2022-08-31,60781441,1606997,796876,2617061,5240628,,71043003
1661990400,2022-09-01,60779758,1584747,783658,2573912,5209743,,70931818
1662076800,2022-09-02,60779914,1602177,787387,2611935,5209743,,70991156
1662163200,2022-09-03,60778446,1594219,784757,2596766,5209743,,70963931
1662249600,2022-09-04,60780649,1595239,791943,2613766,5210397,,70991994
1662336000,2022-09-05,60777930,1591995,794830,2603194,5209323,,70977272
1662422400,2022-09-06,60775541,1602880,799663,2636147,5209323,,71023554
1662508800,2022-09-07,60779934,1554634,778373,2533735,5209323,,70855999
1662595200,2022-09-08,60780043,1570642,778607,2556464,5234131,,70919887
1662681600,2022-09-09,60782257,1589964,797494,2608365,5234131,,71012211
1662768000,2022-09-10,60788062,1582398,798743,2591221,5314311,,71074735
1662854400,2022-09-11,60800834,1589414,797085,2586360,5314311,,71088004
1662940800,2022-09-12,60795302,1574630,782552,2552682,5314311,,71019477
