Date,TVL_USD,TVL_ALGO
2021-06-07 00:00:00,8514478,8306721
2021-06-10 00:00:00,12615106,12062511
2021-06-11 00:00:00,13678519,13090246
2021-06-12 00:00:00,14665596,15120450
2021-06-13 00:00:00,15967885,16210435
2021-06-14 00:00:00,16652581,15980464
2021-06-15 00:00:00,16338848,15487049
2021-06-16 00:00:00,16202145,15678250
2021-06-17 00:00:00,18029838,17830217
2021-06-18 00:00:00,15195318,14289022
2021-06-19 00:00:00,14846852,15071105
2021-06-20 00:00:00,15270532,16195791
2021-06-21 00:00:00,12593714,13419235
2021-06-22 00:00:00,12402970,16265193
2021-06-23 00:00:00,14146481,19032618
2021-06-24 00:00:00,15081142,18090374
2021-06-25 00:00:00,13958543,15995838
2021-06-26 00:00:00,14537484,17982628
2021-06-27 00:00:00,15219865,18929163
2021-06-28 00:00:00,15613943,18739459
2021-06-29 00:00:00,16473424,19491731
2021-06-30 00:00:00,16598185,18877309
2021-07-01 00:00:00,16122569,18278263
2021-07-02 00:00:00,15882922,18814599
2021-07-03 00:00:00,16312832,19170208
2021-07-04 00:00:00,15996762,18251710
2021-07-05 00:00:00,16011124,18167864
2021-07-06 00:00:00,16857388,19222395
2021-07-07 00:00:00,17187489,18812270
2021-07-08 00:00:00,16826069,18578118
2021-07-10 00:00:00,18668705,20547293
2021-07-11 00:00:00,20098995,22445238
2021-07-12 00:00:00,19879358,22201599
2021-07-13 00:00:00,20485048,23515518
2021-07-14 00:00:00,21013744,23961202
2021-07-15 00:00:00,20309485,23683313
2021-07-16 00:00:00,19635145,23629772
2021-07-17 00:00:00,19682246,25124616
2021-07-18 00:00:00,20399361,26002345
2021-07-19 00:00:00,19048610,23565566
2021-07-20 00:00:00,17868948,23862156
2021-07-21 00:00:00,19988868,28557790
2021-07-22 00:00:00,20945129,26988832
2021-07-23 00:00:00,21418892,26826563
2021-07-24 00:00:00,21335485,26407576
2021-07-25 00:00:00,22519249,27212928
2021-07-26 00:00:00,21133591,23395414
2021-07-27 00:00:00,21751422,25627827
2021-07-28 00:00:00,21532380,25443048
2021-07-29 00:00:00,21898535,26151119
2021-07-30 00:00:00,21916588,25855227
2021-07-31 00:00:00,21772275,25560639
2021-08-01 00:00:00,21182514,25041242
2021-08-02 00:00:00,21288412,26192945
2021-08-03 00:00:00,21736992,26654606
2021-08-04 00:00:00,21958997,26808514
2021-08-05 00:00:00,24077473,29152540
2021-08-06 00:00:00,24008877,28183041
2021-08-07 00:00:00,24883369,29157518
2021-08-08 00:00:00,23885207,27273559
2021-08-09 00:00:00,25056248,30399677
2021-08-10 00:00:00,26544163,30981236
2021-08-11 00:00:00,28780817,32659531
2021-08-12 00:00:00,27234488,29840817
2021-08-13 00:00:00,29773740,33766736
